E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 1] ce_loss: 2.3050 | con_loss: 3.3739
[Epoch 1] ce_loss: 2.3027 | con_loss: 3.3019
[Epoch 1] ce_loss: 2.2982 | con_loss: 3.0676
[Epoch 1] ce_loss: 2.2786 | con_loss: 2.9855
[Epoch 1] ce_loss: 2.2611 | con_loss: 2.9895
[Epoch 1] ce_loss: 2.2504 | con_loss: 2.9776
[Epoch 1] ce_loss: 2.2257 | con_loss: 2.9282
[Epoch 1] ce_loss: 2.2163 | con_loss: 2.8990
[Epoch 1] ce_loss: 2.1975 | con_loss: 2.8369
[Epoch 1] ce_loss: 2.1784 | con_loss: 2.7264
[Epoch 1] ce_loss: 2.1569 | con_loss: 2.6603
[Epoch 1] ce_loss: 2.1364 | con_loss: 2.9005
[Epoch 1] ce_loss: 2.1386 | con_loss: 2.7591
[Epoch 1] ce_loss: 2.1297 | con_loss: 2.6956
[Epoch 1] ce_loss: 2.1241 | con_loss: 2.7224
[Epoch 1] ce_loss: 2.0765 | con_loss: 2.6070
[Epoch 1] ce_loss: 2.0575 | con_loss: 2.8883
[Epoch 1] ce_loss: 2.0609 | con_loss: 2.7337
[Epoch 1] ce_loss: 2.0536 | con_loss: 2.7633
[Epoch 1] ce_loss: 2.0391 | con_loss: 2.5533
[Epoch 1] ce_loss: 2.0186 | con_loss: 2.6306
[Epoch 1] ce_loss: 1.9952 | con_loss: 2.5717
[Epoch 1] ce_loss: 1.9983 | con_loss: 2.6602
[Epoch 1] ce_loss: 1.9805 | con_loss: 2.5772
[Epoch 1] ce_loss: 1.9728 | con_loss: 2.6192
[Epoch 1] ce_loss: 1.9283 | con_loss: 2.4744
[Epoch 1] ce_loss: 1.9415 | con_loss: 2.8924
[Epoch 1] ce_loss: 1.9090 | con_loss: 2.5166
[Epoch 1] ce_loss: 1.9148 | con_loss: 2.5979
[Epoch 1] ce_loss: 1.9124 | con_loss: 2.6061
[Epoch 1] ce_loss: 1.9180 | con_loss: 2.5904
[Epoch 1] ce_loss: 1.9062 | con_loss: 2.5151
[Epoch 1] ce_loss: 1.8935 | con_loss: 2.4367
[Epoch 1] ce_loss: 1.8328 | con_loss: 2.3049
[Epoch 1] ce_loss: 1.8898 | con_loss: 2.6494
[Epoch 1] ce_loss: 1.8364 | con_loss: 2.3126
[Epoch 1] ce_loss: 1.8067 | con_loss: 2.1694
[Epoch 1] ce_loss: 1.8357 | con_loss: 2.2695
[Epoch 1] ce_loss: 1.7823 | con_loss: 2.2206
[Epoch 1] ce_loss: 1.7767 | con_loss: 2.2664
[Epoch 1] ce_loss: 1.7578 | con_loss: 2.0777
[Epoch 1] ce_loss: 1.7758 | con_loss: 2.0131
[Epoch 1] ce_loss: 1.6755 | con_loss: 2.0534
[Epoch 1] ce_loss: 1.7168 | con_loss: 1.9310
[Epoch 1] ce_loss: 1.7544 | con_loss: 2.0395
[Epoch 1] ce_loss: 1.7344 | con_loss: 1.8995
[Epoch 1] ce_loss: 1.7476 | con_loss: 2.1384
[Epoch 1] ce_loss: 1.7053 | con_loss: 1.8831
[Epoch 1] ce_loss: 1.7272 | con_loss: 1.9217
[Epoch 1] ce_loss: 1.6836 | con_loss: 1.9379
[Epoch 1] ce_loss: 1.6116 | con_loss: 1.8334
[Epoch 1] ce_loss: 1.6461 | con_loss: 1.7929
[Epoch 1] ce_loss: 1.6530 | con_loss: 1.9345
[Epoch 1] ce_loss: 1.5962 | con_loss: 1.9734
[Epoch 1] ce_loss: 1.6303 | con_loss: 1.7790
[Epoch 1] Loss: 4.4257 | Acc: 43.68
[Epoch 2] ce_loss: 1.6080 | con_loss: 1.8658
